"strategy","symbol","open_time","order","price","h_gt_count","l_lt_count","c_gt_count","c_lt_count"
adx_ep_trend_reverse,BTCUSDT,1757556000,SELL,113819.02,,,,
adx_ep_trend_reverse,BTCUSDT,1757574000,SELL,114083.58,13,8,9,5
adx_ep_trend_reverse,BTCUSDT,1757599200,SELL,114463.73,14,8,10,4
adx_ep_trend_reverse,BTCUSDT,1757642400,BUY,115391.0,7,14,2,12
adx_ep_trend_reverse,BTCUSDT,1757696400,SELL,115815.16,13,8,9,5
adx_ep_trend_reverse,BTCUSDT,1757710800,SELL,115865.89,11,8,9,5
adx_ep_trend_reverse,BTCUSDT,1757782800,BUY,115571.78,14,3,14,0
adx_ep_trend_reverse,BTCUSDT,1757793600,SELL,115905.88,11,12,6,8
adx_ep_trend_reverse,BTCUSDT,1757818800,BUY,115679.98,11,7,9,5
adx_ep_trend_reverse,BTCUSDT,1757840400,SELL,116052.09,4,14,1,13
adx_ep_trend_reverse,BTCUSDT,1757851200,BUY,115776.31,5,13,3,11
adx_ep_trend_reverse,BTCUSDT,1757858400,BUY,115401.75,12,10,8,6
adx_ep_trend_reverse,BTCUSDT,1757869200,BUY,115557.65,11,8,8,6
adx_ep_trend_reverse,BTCUSDT,1757887200,SELL,116009.61,5,12,3,11
adx_ep_trend_reverse,BTCUSDT,1757901600,SELL,115362.35,6,10,5,9
adx_ep_trend_reverse,BTCUSDT,1757912400,SELL,116520.0,1,14,0,14
adx_ep_trend_reverse,BTCUSDT,1757919600,SELL,115806.62,0,14,0,14
adx_ep_trend_reverse,BTCUSDT,1757959200,SELL,115307.79,13,10,8,6
adx_ep_trend_reverse,BTCUSDT,1757988000,SELL,115034.47,14,5,14,0
adx_ep_trend_reverse,BTCUSDT,1758013200,SELL,115477.27,11,6,9,5
adx_ep_trend_reverse,BTCUSDT,1758038400,SELL,116068.06,14,1,14,0
adx_ep_trend_reverse,BTCUSDT,1758175200,SELL,117102.43,14,6,12,2
adx_ep_trend_reverse,BTCUSDT,1758204000,SELL,117640.54,6,14,1,13
adx_ep_trend_reverse,BTCUSDT,1758225600,BUY,117521.14,0,14,0,14
adx_ep_trend_reverse,BTCUSDT,1758423600,SELL,115669.41,10,14,4,10
adx_ep_trend_reverse,BTCUSDT,1758456000,BUY,115683.59,2,14,0,14
adx_ep_trend_reverse,BTCUSDT,1758466800,BUY,115531.61,5,14,2,12
adx_ep_trend_reverse,BTCUSDT,1758477600,BUY,115530.9,2,14,1,13
adx_ep_trend_reverse,BTCUSDT,1758538800,SELL,112876.97,7,14,3,11
adx_ep_trend_reverse,BTCUSDT,1758549600,SELL,112933.16,4,14,1,13
adx_ep_trend_reverse,BTCUSDT,1758553200,SELL,112815.5,7,14,1,13
adx_ep_trend_reverse,BTCUSDT,1758574800,SELL,112969.99,7,14,4,10
adx_ep_trend_reverse,BTCUSDT,1758610800,SELL,113090.13,3,14,1,13
adx_ep_trend_reverse,BTCUSDT,1758621600,SELL,112969.32,5,14,1,13
adx_ep_trend_reverse,BTCUSDT,1758650400,BUY,111780.1,14,4,12,2
adx_ep_trend_reverse,BTCUSDT,1758661200,BUY,112161.54,14,8,10,4
adx_ep_trend_reverse,BTCUSDT,1758690000,BUY,112636.84,14,4,11,3
adx_ep_trend_reverse,BTCUSDT,1758754800,BUY,113307.0,,,,
